text	label
anies ganjar kemarin ngasih kritik gibran sopan mahfud bain dukung	5
anies eks platform indikasi serap akomodasi aspirasi generasi	3
anies bilang debat selesai tinggal kalimat lontar konteks pindah ibukota dalih jakarta macet polusi	6
joget joget asyik pemuda butuh program program bawa manfaat jangka program pasang capres ganjar pranowo mahfud	5
prabowo bukti parameter menteri kerja muas	5
orang angkot sistem jaklingko ngerti beda diskusi dialog anies canang jaklingko gubernur	5
taking about prabowo gibran tabrak konstitusi	5
tani indonesia dukung tuntas estate nanem singkong tumbuh jagung tani indonesia pilih anies muhaimin presiden wakil presiden aamiin	7
urrangawak pasang capres cawapres ganjar mahfud berani basmi korupsi ganjar mahfud hebat pimpin indonesia	5
capres ganjar pranowo cawapres mahfud keren rapiin regulasi hukum investor betah tanah	5
darah tani indonesia ampas tanah singkir masyarakat	6
umat rajut satu dukung pasang ganjar pranowo mahfud pimpin bangsa pilpres	3
optimis pbowogbran kelola ekonomi betul2 putus baik masyarakat future bangsa	1
prabowo kenang bencana tsunami pdemokrat agusyudhoyono demokrat rakyat	6
sejahtera prajurit tengah tinggi anggar menteri tahan mesti debat kemarin	4
suara batak populasi etnis tiga besar sunda mayoritas batak kristen anies diframing radikal	0
program capres ganjar pranowo presisi ekonomi bagi	1
dukung prabowo gibran berkat gibran luas hilir	5
ganjar hadir tantang komitmen berantas korupsi indonesia ganjarmahfu d2024 majalengka majalengka ganjar mahfud hebat kitamasbowo dangbran	5
sesal batal desak anies negara demokrasi sesal larang hambat proses demokrat	5
anies paham psikologis orang papua	5
tanggap serius ganjar tindak aniaya timpa rawan ganjar mahfud boyolali ganjar oknum aniaya erti atur erti pecat	4
alhamdulillah dukung ganjar mahfud tambah bandung laut merah dukung	6
muhammad syaugi alaydrus kapten timnas anies muhaimin anies baswedan gagas	5
cocok banget istri prabowo banget tukang nyerang personal playing victim kontroversi mantapppppppppppppppppppp	5
anies kritik bayar kuliah pakai pinjol anggar didik minim	5
ganjar pranowo komitmen sih korupsi program transparansi akuntabilitas transformasi perintah inspiratif	5
dukung ganjar pranowo	5
capres cawapres ganjar pranowo mahfud janji juang jaga konstitusi atur dasar negara bentuk langgar	3
menang kalah nurani tetap pilih ganjar mahfud salam waras	5
saat tentara paruh milik rumah dinas panasss langsung masak istora senayan menhan megawati anies	4
pindah lokasi acara desak anies yogja batal kelola cari lokasi disleman area pinggir sawah bawah menara sutet tahan suara ubah membludak bendung	5
prabowo gibran terus juang baik indonesia pilihprabowogibran02 moga hasil	5
paslon ganjar pranowo mahfud ekonomi tumbuh capai kencang	1
prabowo nantangin bahas data buka 340ribu tanah prajurit rumah dinas rencana serap anggar optimal indeks publik ukur tahan turun apa rahasia bingung narasi bangun gimana	5
kapitalisme neoliberal cocok indonesia prabowo	3
program ganjar pranowo harap bangkit ekonomi	1
breaking prabowo kirim kapal palestina kerah dukung palestina	5
sakti anies baswedan tahun bebas lahan negosiasi rekam jejak hasil kerja bagus junjung adil rakyat pimpin anies	5
kampanye akbar anies baswedan palembang	5
ganjar mahfud p3ndidikan beban investasi cerdas cemerlang ganjar pranowo baik rakyat	5
demen banget denger cerita indah ngebangun kerjasama baru asean china mulut angin anies desak anies anies anies bubble	5
program pasang capres cawapres ganjar pranowo mahfud tawar solusi pintar ekonomi	1
anies angkat martabat tani terus terima bansos hasil	6
berani taruh bikin karang bunga orang komunitas dikarang2 salah bentuk provokasi bentur masyarakat cara2 main sungguh keri prabowo sampe kuasa	4
anies baswedan serius pelotot biaya mahal tiket pesawat indonesia timur	5
prabowo anies surprised questioned should armaments agree increase defense budget again wrong ganjar mistakes every party suppo budget parliament including	4
fokus serang anies beliau ngungkapin gagas substantif penting selatan tahan asean sejahtera prajurit luput seru reaksi prabs	4
warga purwokerto desa desak anies anies pilih kali pilih rasional jepang ridho paspampres presiden grace	5
selamat demokrasi indonesia tolak prabowo gibran mahasiswa ajak masyarakat tolak politik dinasti praktik presiden jokowi gibran jokowi	5
